# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GODOT_WINDOWS_CODESIGN_PASSWORD	FOUNDRY_WINDOWS_CODESIGN_PASSWORD	D	code	generated
_open_gdscript_migration_wizard	_open_foundry_script_migration_wizard	A	code
load_gdextension_interface_file	load_foundry_extension_interface_file	B	code
pluginGDExtensionLibrariesPaths	pluginFoundryExtensionLibrariesPaths	B	code
GDExtensionCallableCustomEqual	FoundryExtensionCallableCustomEqual	B	code	generated
GDExtensionCallableCustomInfo2	FoundryExtensionCallableCustomInfo2	B	code	generated
GDExtensionClassCreateInstance	FoundryExtensionClassCreateInstance	B	code	generated
GDExtensionInitializationLevel	FoundryExtensionInitializationLevel	B	code	generated
GDExtensionScriptInstanceInfo2	FoundryExtensionScriptInstanceInfo2	B	code	generated
GDExtensionScriptInstanceInfo3	FoundryExtensionScriptInstanceInfo3	B	code	generated
GDExtensionSpecialCompatHashes	FoundryExtensionSpecialCompatHashes	B	code	generated
GDExtensionUninitializedXXXPtr	FoundryExtensionUninitializedXXXPtr	B	code	generated
GODOT_MTL_SHADER_LOAD_STRATEGY	FOUNDRY_MTL_SHADER_LOAD_STRATEGY	D	code	generated
GODOT_WAYLAND_DISABLE_EMBEDDER	FOUNDRY_WAYLAND_DISABLE_EMBEDDER	D	code	generated
GODOT_WAYLAND_DISABLE_LIBDECOR	FOUNDRY_WAYLAND_DISABLE_LIBDECOR	D	code	generated
keyword_gdscript_export_single	keyword_foundry_script_export_single	A	code
GDExtensionCallableCustomCall	FoundryExtensionCallableCustomCall	B	code	generated
GDExtensionCallableCustomFree	FoundryExtensionCallableCustomFree	B	code	generated
GDExtensionCallableCustomHash	FoundryExtensionCallableCustomHash	B	code	generated
GDExtensionCallableCustomInfo	FoundryExtensionCallableCustomInfo	B	code	generated
GDExtensionClassCreationInfo2	FoundryExtensionClassCreationInfo2	B	code	generated
GDExtensionClassCreationInfo3	FoundryExtensionClassCreationInfo3	B	code	generated
GDExtensionClassCreationInfo4	FoundryExtensionClassCreationInfo4	B	code	generated
GDExtensionClassCreationInfo5	FoundryExtensionClassCreationInfo5	B	code	generated
GDExtensionClassMethodPtrCall	FoundryExtensionClassMethodPtrCall	B	code	generated
GDExtensionClassNotification2	FoundryExtensionClassNotification2	B	code	generated
GDExtensionClassVirtualMethod	FoundryExtensionClassVirtualMethod	B	code	generated
GDExtensionConstStringNamePtr	FoundryExtensionConstStringNamePtr	B	code	generated
GDExtensionInitializeCallback	FoundryExtensionInitializeCallback	B	code	generated
GDExtensionPtrUtilityFunction	FoundryExtensionPtrUtilityFunction	B	code	generated
GDExtensionScriptInstanceCall	FoundryExtensionScriptInstanceCall	B	code	generated
GDExtensionScriptInstanceFree	FoundryExtensionScriptInstanceFree	B	code	generated
GDExtensionScriptInstanceInfo	FoundryExtensionScriptInstanceInfo	B	code	generated
GDSCRIPT_REFLECTION_NAMESPACE	FOUNDRY_SCRIPT_REFLECTION_NAMESPACE	A	code
GODOT_APP_LAUNCHER_CLASS_NAME	FOUNDRY_APP_LAUNCHER_CLASS_NAME	D	code	generated
GODOT_EMBEDDED_CLIENT_DESTROY	FOUNDRY_EMBEDDED_CLIENT_DESTROY	D	code	generated
GODOT_NIR_SC_SENTINEL_ID_MASK	FOUNDRY_NIR_SC_SENTINEL_ID_MASK	D	code	generated
GODOT_PROJECT_NAME_XML_STRING	FOUNDRY_PROJECT_NAME_XML_STRING	D	code	generated
keyword_gdscript_export_multi	keyword_foundry_script_export_multi	A	code
GDExtensionClassCreationInfo	FoundryExtensionClassCreationInfo	B	code	generated
GDExtensionClassFreeInstance	FoundryExtensionClassFreeInstance	B	code	generated
GDExtensionClassNotification	FoundryExtensionClassNotification	B	code	generated
GDExtensionMainLoopCallbacks	FoundryExtensionMainLoopCallbacks	B	code	generated
GDExtensionScriptInstanceGet	FoundryExtensionScriptInstanceGet	B	code	generated
GDExtensionScriptInstancePtr	FoundryExtensionScriptInstancePtr	B	code	generated
GDExtensionScriptInstanceSet	FoundryExtensionScriptInstanceSet	B	code	generated
GDExtensionScriptLanguagePtr	FoundryExtensionScriptLanguagePtr	B	code	generated
GODOT_ANDROID_KEYSTORE_ALIAS	FOUNDRY_ANDROID_KEYSTORE_ALIAS	D	code	generated
GODOT_EDITOR_CUSTOM_FEATURES	FOUNDRY_EDITOR_CUSTOM_FEATURES	D	code	generated
GODOT_NIR_BINDING_MULTIPLIER	FOUNDRY_NIR_BINDING_MULTIPLIER	D	code	generated
GODOT_blend_shape_animations	FOUNDRY_blend_shape_animations	D	code	generated
OPCODE_CALL_GDSCRIPT_UTILITY	OPCODE_CALL_FOUNDRY_SCRIPT_UTILITY	A	code
ResourceFormatLoaderGDScript	ResourceFormatLoaderFoundryScript	A	code
TestGDScriptAnalyzerAccessor	TestFSAnalyzerAccessor	A	code
GDExtensionClassCallVirtual	FoundryExtensionClassCallVirtual	B	code	generated
GDExtensionClassConstructor	FoundryExtensionClassConstructor	B	code	generated
GDExtensionClassGetVirtual2	FoundryExtensionClassGetVirtual2	B	code	generated
GDExtensionClassInstancePtr	FoundryExtensionClassInstancePtr	B	code	generated
GDExtensionClassMethodFlags	FoundryExtensionClassMethodFlags	B	code	generated
GDExtensionClassUnreference	FoundryExtensionClassUnreference	B	code	generated
GDExtensionPtrBuiltInMethod	FoundryExtensionPtrBuiltInMethod	B	code	generated
GDExtensionPtrIndexedGetter	FoundryExtensionPtrIndexedGetter	B	code	generated
GDExtensionPtrIndexedSetter	FoundryExtensionPtrIndexedSetter	B	code	generated
GDVIRTUAL_IS_OVERRIDDEN_PTR	FOUNDRY_VIRTUAL_IS_OVERRIDDEN_PTR	C	code	generated
GODOT_ANDROID_SIGN_KEYSTORE	FOUNDRY_ANDROID_SIGN_KEYSTORE	D	code	generated
GODOT_ANDROID_SIGN_PASSWORD	FOUNDRY_ANDROID_SIGN_PASSWORD	D	code	generated
GODOT_MBEDTLS_THREADING_ALT	FOUNDRY_MBEDTLS_THREADING_ALT	D	code	generated
GODOT_NIR_SC_SENTINEL_MAGIC	FOUNDRY_NIR_SC_SENTINEL_MAGIC	D	code	generated
GODOT_PLUGIN_V1_NAME_PREFIX	FOUNDRY_PLUGIN_V1_NAME_PREFIX	D	code	generated
GODOT_PLUGIN_V2_NAME_PREFIX	FOUNDRY_PLUGIN_V2_NAME_PREFIX	D	code	generated
GODOT_PROFILER_TRACK_MEMORY	FOUNDRY_PROFILER_TRACK_MEMORY	D	code	generated
GODOT_SCENE_TREE_FTI_VERIFY	FOUNDRY_SCENE_TREE_FTI_VERIFY	D	code	generated
GODOT_SCRIPT_ENCRYPTION_KEY	FOUNDRY_SCRIPT_ENCRYPTION_KEY	D	code	generated
GODOT_VERSION_MODULE_CONFIG	FOUNDRY_VERSION_MODULE_CONFIG	D	code	generated
ResourceFormatSaverGDScript	ResourceFormatSaverFoundryScript	A	code
__gdscript_type_arguments__	__foundry_script_type_arguments__	A	code	internal metadata key
keyword_gdscript_mastersync	keyword_foundry_script_mastersync	A	code
keyword_gdscript_puppetsync	keyword_foundry_script_puppetsync	A	code
keyword_gdscript_remotesync	keyword_foundry_script_remotesync	A	code
resource_loader_gdextension	resource_loader_foundry_extension	B	code
write_call_gdscript_utility	write_call_foundry_script_utility	A	code
GDExtensionClassGetVirtual	FoundryExtensionClassGetVirtual	B	code	generated
GDExtensionClassLibraryPtr	FoundryExtensionClassLibraryPtr	B	code	generated
GDExtensionClassMethodCall	FoundryExtensionClassMethodCall	B	code	generated
GDExtensionClassMethodInfo	FoundryExtensionClassMethodInfo	B	code	generated
GDExtensionConstVariantPtr	FoundryExtensionConstVariantPtr	B	code	generated
GDExtensionPtrKeyedChecker	FoundryExtensionPtrKeyedChecker	B	code	generated
