# Foundry PROSE-SAFE naming map (derived from naming_map.tsv).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDEXTENSION	FOUNDRY_EXTENSION	B	code	bare all-caps build define (apply AFTER GDEXTENSION_)
GDExtension	FoundryExtension	B	code	apply AFTER all GDExtension* compounds
GDSOFTCLASS	FOUNDRY_SOFTCLASS	C	code
GODOT_CLOCK	FOUNDRY_CLOCK	D	code	generated
GODOT_HTML5	FOUNDRY_HTML5	D	code	generated
GODOT_MACOS	FOUNDRY_MACOS	D	code	generated
gdextension	foundry_extension	B	code	bare lowercase token (apply AFTER gdextension_)
GODOT_ENET	FOUNDRY_ENET	D	code	generated
GODOT_ICON	FOUNDRY_ICON	D	code	generated
GODOT_ROOT	FOUNDRY_ROOT	D	code	generated
GODOT_WASM	FOUNDRY_WASM	D	code	generated
p_gdscript	p_foundry_script	A	code
.gdignore	.fsignore	A	both
GODOT_BIN	FOUNDRY_BIN	D	code	generated
GODOT_IOS	FOUNDRY_IOS	D	code	generated
GODOT_OSX	FOUNDRY_OSX	D	code	generated
GODOT_URL	FOUNDRY_URL	D	code	generated
GODOT_WEB	FOUNDRY_WEB	D	code	generated
gdscript_	fs_	A	code	lowercase file/include prefix (apply BEFORE gdscript via longest-first)
GDSCRIPT	FOUNDRY_SCRIPT	A	code	bare all-caps enum value (FSDataType/LanguageId)
GDSCript	FoundryScript	A	code	comment typo for GDScript
GDScript	FoundryScript	A	code	standalone language class (apply AFTER all GDScript* prefixes)
GDScript	Foundry Script	D	prose	user-facing prose (handle in docs/translations pass)
GODOT_PC	FOUNDRY_PC	D	code	generated
gdscript	foundry_script	A	code	lowercase module dir, main file, setting keys (apply AFTER gdscript_)
GDCLASS	FOUNDRY_CLASS	C	code	apply AFTER GDREGISTER_*/GDSOFTCLASS
.gdc	.fsc	A	both	compiled script
.gde	.fse	A	both	encrypted script
.gd	.fs	A	both	apply AFTER .gdc/.gde/.gdextension/.gdignore
